product_id,product_name,product_category,product_subcategory,brand,unit_price,cost,active_flag
P000001,Urban Trail Household Tempore,grocery,household,Urban Trail,21.93,13.8,True
P000002,Summit House Cycling Culpa,sporting_goods,cycling,Summit House,50.71,23.25,True
P000003,Canopy Co. Kitchen Alias,home,kitchen,Canopy Co.,41.8,27.88,True
P000004,Cedar Works Tops Harum,apparel,tops,Cedar Works,21.51,14.37,True
P000005,Trueleaf Household Exercitationem,grocery,household,TrueLeaf,27.12,18.65,True
P000006,Urban Trail Bottoms Et,apparel,bottoms,Urban Trail,39.03,18.2,True
P000007,Canopy Co. Snacks Deserunt,grocery,snacks,Canopy Co.,12.42,6.6,True
P000008,Northline Outerwear Corporis,apparel,outerwear,Northline,22.69,11.07,True
P000009,Summit House Kitchen Veritatis,home,kitchen,Summit House,22.52,11.57,True
P000010,Trueleaf Pet Quisquam,grocery,pet,TrueLeaf,17.26,10.78,True
P000011,Maple & Main Accessories Commodi,apparel,accessories,Maple & Main,37.72,23.36,True
P000012,Urban Trail Beverages Rerum,grocery,beverages,Urban Trail,11.73,5.42,True
P000013,Urban Trail Makeup Nisi,beauty,makeup,Urban Trail,13.16,8.54,True
P000014,Cedar Works Skincare Aliquid,beauty,skincare,Cedar Works,35.42,15.2,True
P000015,Trueleaf Bottoms Aliquam,apparel,bottoms,TrueLeaf,18.65,9.14,True
P000016,Harbour Goods Gaming Consectetur,electronics,gaming,Harbour Goods,161.31,94.71,True
P000017,Trueleaf Fragrance Esse,beauty,fragrance,TrueLeaf,30.96,14.55,True
P000018,Fieldstone Footwear Eveniet,apparel,footwear,Fieldstone,41.23,19.31,True
P000019,Fieldstone Outerwear Quae,apparel,outerwear,Fieldstone,44.68,23.87,True
P000020,Trueleaf Makeup Sed,beauty,makeup,TrueLeaf,14.46,6.58,False
P000021,Fieldstone Team Sports Alias,sporting_goods,team_sports,Fieldstone,49.01,34.83,True
P000022,Urban Trail Household Ratione,grocery,household,Urban Trail,14.26,6.4,True
P000023,Lakeview Storage Eius,home,storage,Lakeview,50.26,29.84,True
P000024,Summit House Pantry Totam,grocery,pantry,Summit House,12.33,6.77,True
P000025,Brightnest Skincare Voluptates,beauty,skincare,BrightNest,17.13,9.33,True
P000026,Harbour Goods Kitchen Quisquam,home,kitchen,Harbour Goods,48.35,21.81,True
P000027,Canopy Co. Bottoms Nihil,apparel,bottoms,Canopy Co.,27.79,14.56,True
P000028,Canopy Co. Tops Est,apparel,tops,Canopy Co.,20.97,13.73,True
P000029,Urban Trail Storage Occaecati,home,storage,Urban Trail,49.76,29.43,True
P000030,Harbour Goods Gaming Repudiandae,electronics,gaming,Harbour Goods,74.38,41.04,True
P000031,Evervale Pantry Hic,grocery,pantry,Evervale,14.56,8.54,True
P000032,Harbour Goods Skincare Ab,beauty,skincare,Harbour Goods,28.85,18.41,True
P000033,Evervale Footwear Dolore,apparel,footwear,Evervale,19.43,8.38,True
P000034,Summit House Bedding Voluptatem,home,bedding,Summit House,61.51,31.69,True
P000035,Cedar Works Smart Home Nisi,electronics,smart_home,Cedar Works,96.69,67.76,True
P000036,Urban Trail Bottoms Laboriosam,apparel,bottoms,Urban Trail,18.63,12.81,True
P000037,Evervale Outdoor Hic,sporting_goods,outdoor,Evervale,70.61,36.35,True
P000038,Trueleaf Fragrance Dolor,beauty,fragrance,TrueLeaf,30.62,19.72,True
P000039,Lakeview Winter Sports Esse,sporting_goods,winter_sports,Lakeview,149.61,100.14,True
P000040,Brightnest Bottoms Labore,apparel,bottoms,BrightNest,20.12,10.32,True
P000041,Cedar Works Team Sports Corporis,sporting_goods,team_sports,Cedar Works,55.15,23.39,True
P000042,Fieldstone Tops Consectetur,apparel,tops,Fieldstone,13.16,7.53,True
P000043,Lakeview Fragrance Modi,beauty,fragrance,Lakeview,22.56,14.32,True
P000044,Northline Outerwear Consequatur,apparel,outerwear,Northline,41.26,22.25,True
P000045,Brightnest Decor Magnam,home,decor,BrightNest,78.94,39.94,True
P000046,Cedar Works Outerwear Laborum,apparel,outerwear,Cedar Works,35.85,16.2,True
P000047,Canopy Co. Kitchen Sed,home,kitchen,Canopy Co.,103.38,72.36,True
P000048,Summit House Storage Fuga,home,storage,Summit House,47.36,21.44,True
P000049,Lakeview Beverages Aperiam,grocery,beverages,Lakeview,14.54,8.75,True
P000050,Trueleaf Haircare Officia,beauty,haircare,TrueLeaf,18.16,11.18,True
P000051,Lakeview Decor Quidem,home,decor,Lakeview,21.25,13.68,True
P000052,Maple & Main Accessories Cupiditate,apparel,accessories,Maple & Main,28.06,13.01,True
P000053,Northline Gaming Minus,electronics,gaming,Northline,171.42,80.51,True
P000054,Northline Outerwear Beatae,apparel,outerwear,Northline,29.75,12.99,True
P000055,Brightnest Outerwear Quod,apparel,outerwear,BrightNest,52.23,28.11,True
